"Pays","Années","HALE_femmes","HALE_hommes","HALE_WMGap","Code_Pays.x","Statut","LE_hommes","LE_femmes","LE_60_femmes","LE_60_hommes","Mort_inf_filles","Mort_inf_garçons","PIB_habitant","Gini","Mort_adultes_hommes","Mort_adultes_femmes","Dep_sante_PIB","Pop_0_4_filles","Pop_0_4_garçons","Pop_5_9_filles","Pop_5_9_garçons","Pop_10_14_filles","Pop_10_14_garçons","Pop_15_19_filles","Pop_15_19_garçons","Pop_20_24_femmes","Pop_20_24_hommes","Pop_25_29_femmes","Pop_25_29_hommes","Pop_30_34_femmes","Pop_30_34_hommes","Pop_35_39_femmes","Pop_35_39_hommes","Pop_40_44_femmes","Pop_40_44_hommes","Pop_45_49_femmes","Pop_45_49_hommes","Pop_50_54_femmes","Pop_50_54_hommes","Pop_55_59_femmes","Pop_55_59_hommes","Pop_60_64_femmes","Pop_60_64_hommes","Pop_65_69_femmes","Pop_65_69_hommes","Pop_70_74_femmes","Pop_70_74_hommes","Pop_75_79_femmes","Pop_75_79_hommes","Pop_80_plus_femmes","Pop_80_plus_hommes","LE_WMGap","LE_WMGap_60","DPGS","Cancer_thyroïde","Cancer_Estomac","Cancer_Utérus","Cancer_Foie","Cancer_Sein","Cancer_Testicule","VIH_SIDA","LE_WMGap_calc","LE_WMGap60_calc","log_PIB","log_Gini","Code_Pays.y","IDH"
"Brésil",2000,62.73705541,59.17218143,3.56487398,"BRA","Developing",66.347,72.96,19.4932,16.5902,25.7,32.3,3766.54811466032,53.4,229.109,122.93,8.33457184,9.63846898435843,10.1234435426427,9.58559475762123,10.0316129258071,9.98952582450335,10.406356609867,10.1542115363412,10.5032066110456,9.38617366465169,9.58333777688708,8.38344884641973,8.47557023595189,7.72078141662648,7.75395985413238,7.34578993402105,7.33328119820633,6.41522364315556,6.3561281125012,5.34959016093192,5.23598647922789,4.20432128789161,4.07072879887584,3.25348569643874,3.19351634575032,2.71929480900854,2.48983845042959,2.2710296077797,1.84401215497212,1.71359500539583,1.29598606791482,1.04649992941405,0.751320695504031,0.822964895440884,0.551714140284083,6.613,2.903,41.63555527,10.2865051977228,272.92838547547,24.867952882409,30.5614236909187,217.635614696662,7.71842129330111,453.533734247196,6.613,2.903,8.23391424155302,3.97781074596615,"BRA",0.69
"Brésil",2001,62.96384211,59.38994335,3.57389876,"BRA","Developing",66.699,73.4,19.6649,16.7358,24,30.3,3176.28935747524,58.4,227.021,119.158,8.54963303,9.43462253707199,9.92052382813807,9.44688851616624,9.89828485201704,9.74899240905988,10.1696959569395,10.0481243190532,10.4122934168125,9.45702086507216,9.66835018279984,8.43436295760628,8.53378835318957,7.68458322379487,7.71973149744227,7.35359841801942,7.34140335825729,6.51831853917806,6.45964791377269,5.46534640612926,5.35256629292703,4.36961096045208,4.21404127367344,3.3158996346895,3.2379287939199,2.74488960215978,2.54348831123744,2.27735753501361,1.86567038246533,1.75196504551469,1.31770230779674,1.09254429664453,0.775602494911256,0.855874734374451,0.569280783700079,6.70100000000001,2.9291,41.08930588,10.8197436683601,271.88403198734,24.7423517186796,32.3506751690812,220.72143112927,7.99539188356587,447.912242102599,6.70100000000001,2.9291,8.06346892573438,4.06731588983418,"BRA",0.694
"Brésil",2002,63.09142906,59.57840052,3.51302854,"BRA","Developing",67.085,73.843,19.8502,16.9187,22.5,28.4,2855.94018885769,58.1,224.399,115.476,8.69686985,9.19852938239852,9.68315232683232,9.33907668597163,9.79791500512144,9.5159620150156,9.94108735956232,9.9090137626934,10.2845916597688,9.51222352816173,9.7397115627365,8.49897622419147,8.60662703572328,7.68297873999677,7.72027053076029,7.33352283306572,7.32186192176287,6.61608267563832,6.55758069494853,5.58289640428763,5.47049670930467,4.52658891837738,4.36275575754531,3.40310826062752,3.29260190761016,2.7760965433609,2.59569985612178,2.28579963830849,1.89692846486992,1.78594987308224,1.33873108528478,1.13935518182702,0.800087575154244,0.893839332995651,0.589900546892755,6.75800000000001,2.9315,42.38710403,10.4042726428257,272.086533983718,24.9527099932033,33.8135852836791,223.918611791297,8.26151675299641,444.219065084514,6.75800000000001,2.9315,7.95715638096346,4.06216566385787,"BRA",0.7
"Brésil",2003,63.26572255,59.78503628,3.48068627,"BRA","Developing",67.558,74.337,20.1474,17.2464,21.1,26.6,3090.6070097455,57.6,221.926,112.573,8.18899441,8.92849216436047,9.40917844592567,9.25043454096604,9.71792430735574,9.30783281954189,9.73901445205987,9.74139733841715,10.1244180748152,9.54186582864312,9.78738968557593,8.57588264311817,8.69192106711826,7.7152409070982,7.75485557961936,7.28878241786714,7.27790903627461,6.70627756175968,6.64758393302726,5.70262835288024,5.59023221155271,4.67331512339056,4.50250099739716,3.51648954398731,3.37315738695372,2.81225244358237,2.64680813970247,2.29973802312827,1.93794587245546,1.81494217361226,1.35991491153617,1.18670859905527,0.825261389962594,0.937719518591878,0.613984508667826,6.779,2.901,42.85684204,10.3923917396777,273.430052786254,25.7307986136274,35.1383578374318,225.974201948068,8.71858658443954,438.208028252324,6.779,2.901,8.03612279388267,4.05352256770185,"BRA",0.705
"Brésil",2004,63.3755438,59.96353312,3.41201068,"BRA","Developing",68.019,74.824,20.4626,17.5307,19.7,24.9,3663.823188064,56.5,218.643,110.184,8.12491989,8.65622230233282,9.13208140543491,9.1511118191663,9.62705078853994,9.13212673647629,9.57006362467608,9.55684036651436,9.94579054168801,9.53506484543258,9.79915728768448,8.6652230682859,8.79005799267363,7.76387453706719,7.80609864903897,7.23574252441392,7.2259467739128,6.78056706118078,6.7213692599585,5.82275913052025,5.71003513092861,4.80161997928689,4.62591273380392,3.66082381018841,3.48461886798516,2.85459240607337,2.69771670374321,2.32271247295656,1.98943655210205,1.83932740463476,1.38251798715817,1.23385332484753,0.850930986603842,0.987538210622094,0.641214714067721,6.80499999999999,2.9319,42.67027283,10.7972633176149,274.440839373479,25.17215701966,36.6892767559921,230.080861745357,8.55005088317915,429.975296827447,6.80499999999999,2.9319,8.20626246809689,4.0342406381524,"BRA",0.712
"Brésil",2005,63.79896326,60.49942617,3.29953709,"BRA","Developing",68.485,75.292,20.7702,17.821,18.5,23.4,4827.78173074714,56.3,215.12,107.909,8.03539562,8.41180034922516,8.88406187750117,9.01944794373328,9.50174496103114,8.99157092982025,9.43635922433417,9.35910065217747,9.75401978677774,9.48947278394828,9.77050791279894,8.75893457463619,8.89404364495468,7.81852620237141,7.86457620722082,7.1946112887999,7.18609885805763,6.83092032082407,6.77119127701527,5.9395072127263,5.82637420697749,4.91990580473198,4.74242447952872,3.82506019297352,3.6155352972191,2.90630059122133,2.75050466049328,2.35278431986162,2.04710701886371,1.86027895216987,1.4078190682805,1.27952626473976,0.877025029026626,1.04225161603961,0.670606489919037,6.807,2.9492,41.63145828,10.9265534836644,268.402089049273,25.1470198853125,37.0382200056269,229.873634671422,8.56130490659439,416.497624440552,6.807,2.9492,8.48214237215386,4.03069453514564,"BRA",0.718
"Brésil",2006,63.97598566,60.7098367,3.26614896,"BRA","Developing",68.953,75.744,21.0757,18.1165,17.3,21.9,5934.14470924968,55.6,211.381,105.708,8.24952507,8.19078826944772,8.66029946238663,8.85269196249915,9.33819153925561,8.88345067469128,9.33640576796775,9.15414699271755,9.55495736541313,9.40972339746751,9.70502052626269,8.84404882544978,8.99140383534596,7.8834900664496,7.93502229030637,7.17751720890597,7.17029276066372,6.85502739400171,6.79508243123508,6.05079448534716,5.93729767857191,5.04120236116653,4.86363349954302,3.98851829826308,3.75726224917223,2.97411864817789,2.80306260208258,2.38787188041187,2.10594483802217,1.88127751046552,1.44001159151494,1.3236767352663,0.904204536881674,1.10165528927139,0.701907025374502,6.791,2.9592,42.92739105,11.0206071188391,265.217675908599,25.5158729920693,39.1839257892424,234.077240662447,8.9924332898579,411.437903680343,6.791,2.9592,8.68847818701276,4.01818320125654,"BRA",0.725
"Brésil",2007,64.28673344,60.9658145,3.32091894000001,"BRA","Developing",69.368,76.191,21.3933,18.4133,16.3,20.7,7409.69130673473,54.9,208.863,103.648,8.20182991,7.98806743358614,8.45529659924542,8.6528123563512,9.13851177238092,8.80265815984491,9.26509277233543,8.9537883889741,9.36078819028951,9.29584659686304,9.60248170591825,8.91176759497444,9.07383200464721,7.95888931931396,8.01706839752961,7.19046066119867,7.18474954724618,6.85112896730187,6.79153619008784,6.15613802809963,6.04218427105142,5.16365855566768,4.98575198997552,4.14476321983918,3.9042106545923,3.06456914354609,2.86495647796928,2.42823083880409,2.16455891829959,1.90477115931338,1.48076994626796,1.3660749544448,0.932388949560331,1.16637462187684,0.73582161260324,6.82300000000001,2.98,42.48596954,11.1254147451486,265.455471310321,26.4067222028797,40.2166457836446,238.035726299137,9.15464815498587,410.267191663055,6.82300000000001,2.98,8.91054405841221,4.00551334851548,"BRA",0.732
"Brésil",2008,64.54378131,61.13609506,3.40768625,"BRA","Developing",69.733,76.585,21.6651,18.6702,15.5,19.6,8908.33176538648,54,206.623,101.627,8.01128483,7.80487425932201,8.2707384905027,8.41844958152105,8.90140806076581,8.73880799015894,9.21124417272575,8.77448066544538,9.18904740678357,9.1515186619463,9.46647701481687,8.9522779328224,9.13170156262294,8.04337839773009,8.10887250893332,7.23315042217947,7.22928846585745,6.8223956363648,6.76372812639878,6.25369746480651,6.13906400357452,5.28801063544087,5.10937930971935,4.29213947482708,4.04363223017512,3.17906292696551,2.94966278296189,2.47320974749465,2.22265677695756,1.93303036023091,1.52935775682987,1.40531525827597,0.961178677919548,1.23620058446806,0.772562652454923,6.85199999999999,2.9949,43.74353027,11.2918966577541,262.827786113189,26.8324614202446,41.638663086155,246.57011144314,9.57072493271616,412.951436420813,6.85199999999999,2.9949,9.09474227121612,3.98898404656427,"BRA",0.739
"Brésil",2009,64.75405725,61.31274397,3.44131328,"BRA","Developing",70.076,76.93,21.9036,18.91,14.7,18.6,8678.6592244676,53.7,204.448,99.983,8.39480495,7.63414931912569,8.09905760160403,8.18082178573466,8.66016750120787,8.66498617620164,9.14690577197661,8.62357839024302,9.04648537851842,8.98720607147319,9.30967913038659,8.95550872833653,9.15347225878085,8.13801913523223,8.21139095991073,7.29040696291638,7.28865679133731,6.7852654798366,6.72782454889953,6.33669590878703,6.22109969496678,5.41387600114006,5.23416098780197,4.42373248720761,4.16947722240753,3.32250909512508,3.06206475365822,2.52385429713023,2.28085633403491,1.96859666090666,1.58618544956658,1.44076672147223,0.990819597099574,1.31002677913117,0.811696017842502,6.85400000000001,2.9936,44.16326523,11.4370830173139,262.796157151738,26.9496150149086,43.744819033861,250.410846317692,9.47915220082159,412.406849534792,6.85400000000001,2.9936,9.06862232849587,3.98341300151482,"BRA",0.742
