Année,Pays,Code Pays,"Espérance de vie à la naissance, hommes (années)","Espérance de vie à la naissance, femmes (années)","Espérance de vie à la naissance à 60 ans, femmes (années)","Espérance de vie à la naissance à 60 ans, hommes (années)","Taux de mortalité infantile, filles (pour 1 000 naissances vivantes)","Taux de mortalité infantile, garçons (pour 1 000 naissances vivantes)",PIB par habitant ($ US courants),Gini index,"Taux de mortalité, adultes, hommes (pour 1 000 hommes adultes)","Taux de mortalité, adultes, femmes (pour 1 000 femmes adultes)","Chômage, femmes (% de la population active féminine)","Chômage, hommes (% de la population active masculine)",Émissions de CO2 par habitant (tonnes),"Taux de naissance, brut (pour 1 000 personnes)","Population âgée de 15 à 64 ans, hommes","Population âgée de 15 à 64 ans, femmes",Dépenses de santé actuelles (% du PIB),"Mortalité prématurée par maladies cardiovasculaires, cancer, diabète ou maladies respiratoires chroniques (femmes, 30-70 ans)","Mortalité prématurée par maladies cardiovasculaires, cancer, diabète ou maladies respiratoires chroniques (hommes, 30-70 ans)",Incidence du VIH (% de la population de 15 à 49 ans),"Prévalence du VIH, total (% de la population âgée de 15 à 49 ans)","Population âgée de 0 à 4 ans, filles (% de la population féminine)","Population âgée de 0 à 4 ans, garçons (% de la population masculine)","Population âgée de 5 à 9 ans, filles (% de la population féminine)","Population âgée de 5 à 9 ans, garçons (% de la population masculine)","Population âgée de 10 à 14 ans, filles (% de la population féminine)","Population âgée de 10 à 14 ans, garçons (% de la population masculine)","Population âgée de 15 à 19 ans, filles (% de la population féminine)","Population âgée de 15 à 19 ans, garçons (% de la population masculine)","Population âgée de 20 à 24 ans, femmes (% de la population féminine)","Population âgée de 20 à 24 ans, hommes (% de la population masculine)","Population âgée de 25 à 29 ans, femmes (% de la population féminine)","Population âgée de 25 à 29 ans, hommes (% de la population masculine)","Population âgée de 30 à 34 ans, femmes (% de la population féminine)","Population âgée de 30 à 34 ans, hommes (% de la population masculine)","Population âgée de 35 à 39 ans, femmes (% de la population féminine)","Population âgée de 35 à 39 ans, hommes (% de la population masculine)","Population âgée de 40 à 44 ans, femmes (% de la population féminine)","Population âgée de 40 à 44 ans, hommes (% de la population masculine)","Population âgée de 45 à 49 ans, femmes (% de la population féminine)","Population âgée de 45 à 49 ans, hommes (% de la population masculine)","Population âgée de 50 à 54 ans, femmes (% de la population féminine)","Population âgée de 50 à 54 ans, hommes (% de la population masculine)","Population âgée de 55 à 59 ans, femmes (% de la population féminine)","Population âgée de 55 à 59 ans, hommes (% de la population masculine)","Population âgée de 60 à 64 ans, femmes (% de la population féminine)","Population âgée de 60 à 64 ans, hommes (% de la population masculine)","Population âgée de 65 à 69 ans, femmes (% de la population féminine)","Population âgée de 65 à 69 ans, hommes (% de la population masculine)","Population âgée de 70 à 74 ans, femmes (% de la population féminine)","Population âgée de 70 à 74 ans, hommes (% de la population masculine)","Population âgée de 75 à 79 ans, femmes (% de la population féminine)","Population âgée de 75 à 79 ans, hommes (% de la population masculine)","Population âgée de 80 ans et plus, femmes (% de la population féminine)","Population âgée de 80 ans et plus, hommes (% de la population masculine)"
2000,Afrique du Sud,ZAF,55.415,61.082,18.9311,16.1083,43.1,50.5,3217.84693448467,57.8,473.064,342.502,26.044,19.934,7.36427840038657,21.567,13196113,15264326,7.3366189,17.7,26.9,21.9,13.8,10.2101250304674,11.6271030476596,10.9168821462024,12.3842674559873,11.6753798116034,13.213378018836,10.8912129330642,12.2554893042244,9.41739231751954,9.45747647686406,8.5958461502586,8.02876704142981,7.57493771432015,6.70345887355497,6.70499528990247,5.98768664595727,5.5206934110648,5.134559829947,4.29857172642564,4.0144660507945,3.31753412764625,3.09027191408378,2.80373359644731,2.37852135495922,2.56495919417544,1.81828933033956,2.21120377192547,1.5375889158445,1.5257571751038,1.10763842876201,0.889005902080166,0.66180647771457,0.881769701792973,0.599230833041448
2000,Allemagne,DEU,75,81,23.6537,19.2954,3.9,4.8,23925.8559901991,28.9,125.456,63.354,8.271,7.641,10.6035726774407,9.3,28242796,27567037,9.88843536,11.2,21.1,,,4.6124810605923,5.1278251603405,4.81577047715405,5.34155471724578,5.43217897109263,6.02072152865866,5.32999420440519,5.87976195257705,5.38903384194133,5.82816950435807,5.89023186059029,6.43871342382528,7.83947353939477,8.68624720583293,8.27399845989871,9.17313076248487,7.32600244039711,8.03570686225654,6.69441753116997,7.13020846795359,5.6758864302543,6.06560980957578,6.11594293024783,6.45986960557869,6.79156016490609,6.88720438207886,5.14241352089988,4.83888660183594,4.91118158956016,3.82735988007754,4.53975001952725,2.35867877817568,5.21968295796813,1.90035135714425
2000,Brésil,BRA,66.347,72.96,19.4932,16.5902,25.7,32.3,3766.54811466032,,229.109,122.93,14.229,8.66,2.00781892560001,19.879,56191793,56856984,8.33457184,17.2,24.8,0.26,0.3,9.63846898435843,10.1234435426427,9.58559475762123,10.0316129258071,9.98952582450335,10.406356609867,10.1542115363412,10.5032066110456,9.38617366465169,9.58333777688708,8.38344884641973,8.47557023595189,7.72078141662648,7.75395985413238,7.34578993402105,7.33328119820633,6.41522364315556,6.3561281125012,5.34959016093192,5.23598647922789,4.20432128789161,4.07072879887584,3.25348569643874,3.19351634575032,2.71929480900854,2.48983845042959,2.2710296077797,1.84401215497212,1.71359500539583,1.29598606791482,1.04649992941405,0.751320695504031,0.822964895440884,0.551714140284083
2000,Canada,CAN,76.64,81.82,24.4753,20.5342,4.8,5.7,24271.0020563821,33.4,100.915,61.046,6.695,6.942,17.6969816263129,10.7,10526057,10419051,8.24814415,11.3,17.7,0.14,0.2,5.65493596375612,6.04752992182336,6.42307733353382,6.87956761430348,6.47822819625272,6.94363214253188,6.5715991292131,7.09365124809088,6.52697913609117,6.97771639436817,6.61831824576351,6.92543403627947,7.27343383679927,7.54882627119822,8.60169184220706,8.91355997633102,8.38077432400935,8.54529766984123,7.50354263132204,7.55126903586499,6.5756948234751,6.65731527082723,5.0549488020591,5.06763138975487,4.12278737568582,4.02413922385159,3.81822219243924,3.60867629460396,3.52355653937678,3.01359985519997,3.02509965147821,2.1936419119555,3.84710997653757,2.0085117431742
2000,Chine,CHN,69.85,74.895,20.9973,17.7616,28.2,31.6,969.199513696287,,148.896,86.709,2.834,3.613,2.90418209393773,14.03,440805428,423328959,4.50828123,19.7,28.3,,,6.35504705613466,7.04799188664959,7.66095592986161,8.28605196512596,9.61522043744026,10.0844008985268,8.27013467585805,8.46457287343539,7.55213286034719,7.64589883217845,9.54945273233868,9.58684078237585,9.92299649828525,9.88257157340466,8.26575668816411,8.18610692524061,6.63068519032566,6.51381109859992,6.82902210450446,6.592920219016,4.79611530422691,4.75217782935542,3.54499817333084,3.56625253979766,3.17025888121402,3.15807990681482,2.7976915166491,2.58809027599078,2.12286356359986,1.80127580523665,1.51764556658343,1.11434461397955,1.3990228211359,0.728611974271865
2000,Chili,CHL,74.021,80.149,23.5846,19.6948,8.3,10,5052.99245766325,52.8,139.187,71.847,12.487,9.453,3.47348218659688,16.322,5040515,5038306,7.00020742,11.8,16.4,0.21,0.2,8.26197475295546,8.72430308515629,8.96473356057937,9.45755752416142,8.87536831951819,9.35054653130825,8.26427900645981,8.64592947593783,8.01965586006005,8.33342678186527,8.00875719028185,8.24464959620187,7.95014956145691,8.08578925258049,7.5677590133379,7.60004270327827,6.87406317492885,6.86046833465706,5.94757354724679,5.892332901223,4.90314336763633,4.81238332842756,3.8453562199408,3.75595037578302,3.29633412523059,3.11404646814137,2.97955382591769,2.67295427281367,2.68350538961044,2.24632337284337,1.82415362169279,1.34907486277488,1.73363946314616,0.854221132846412
2000,Corée du Sud,KOR,72.3,79.7,23.1109,17.6953,5.5,6.2,12257.0206622345,,161.467,64.232,3.231,4.623,10.0867252462027,13.5,17446283,16366112,3.85544205,10.9,23.1,,,6.62000423740342,7.19091763546605,7.01841194401426,7.82236140297328,6.34912073878987,6.9175146476128,7.96069770082074,8.45907161500063,8.09474737896712,8.85666933763597,9.12078686767708,9.30436945138154,8.88505043416995,9.07117229275813,9.08352219353701,9.27246099340675,8.49365116117201,8.71647223069321,6.12169521049941,6.27490375708696,4.960012919819,5.01787713012348,4.36217408297859,4.12912066054443,4.0817821045865,3.55921224120977,3.30960219872941,2.47887943289519,2.42190879617423,1.46945314609044,1.65540862806579,0.897750870255885,1.46142340259561,0.561793154865474
2000,Côte d'Ivoire,CIV,50.313,52.548,14.9459,13.9837,81.9,100.4,936.636541348798,,428.367,415.409,4.895,4.767,0.39364361972007,44.278,4602899,4517805,4.00220871,16.2,26.5,5.2,6.7,18.1580639670624,18.085261080194,15.0441346525899,14.8979548818844,13.0214731792131,12.8712849025725,11.1976350203006,10.9633698820404,10.0668103811804,9.73230247860997,8.31345317897796,8.2013263883951,6.39187309702127,6.31251154062454,4.96482398247165,4.85721665289989,3.54823058438482,3.67670456254112,2.4216086775745,2.72326980567907,1.6849889703834,2.07216638847379,1.45814365427461,1.77592821752612,1.26898094475491,1.43103463297512,0.995916931973609,1.04772148373155,0.693195259567847,0.689022712511203,0.432801916763978,0.399642166863449,0.337865601504987,0.263282222477666
2000,Espagne,ESP,75.6,82.5,25.1265,20.4525,4,4.7,14743.2671031455,34.1,118.721,47.685,20.367,9.497,7.72138015449864,9.8,14008501,13835777,6.7992177,8.2,19.3,0.16,0.5,4.38569837026001,4.81515602042802,4.63478236114806,5.08467939416759,5.11323345823407,5.62339589816741,6.09883587059432,6.73348824814922,7.75746522316245,8.49856267112447,8.07052673388093,8.81625689824002,8.03248882895424,8.62019904196615,7.86442962189097,8.25455991753945,7.08075827666814,7.32028373327888,6.0797007956164,6.28352529997778,5.91895371555295,5.98393983748445,5.25782634023997,5.2497936847316,4.830461966728,4.58150255121778,5.36659123651396,4.86067251080095,4.77672956524473,3.95718842719581,3.86265862185848,2.82210186019944,4.86885901345233,2.49469400533097
2000,France,FRA,75.3,83,25.5799,20.3812,3.6,4.6,22340.5939516217,32.6,138.639,60.936,12.205,8.543,6.58601475170309,13.3,19704733,19932120,9.58447742,8.7,19.7,0.17,0.2,5.94934791133436,6.65032698679319,5.816406258928,6.45941495864754,6.17236050448347,6.8650480053252,6.22300051229358,6.87142779592287,6.16597071143505,6.75540466767451,6.81614276567352,7.21406864075962,7.00965031800403,7.28146016045156,7.2411766492082,7.50750262161398,7.14675007028119,7.4040623394602,7.03024980923676,7.29034889640106,6.74785001585204,7.09311945475212,4.59046716015329,4.77521435065454,4.57605829110748,4.48360489981086,4.81760030456816,4.33854523412749,4.59759323237003,3.71778918319846,4.15284959628719,2.91731605986836,4.94652588878364,2.37534574453846
