Année,Pays,Code Pays,"Espérance de vie à la naissance, hommes (années)",Dépenses publiques générales de santé (% des dépenses courantes de santé)
2005,Inde,IND,63.608,20.12672806
2005,Indonésie,IDN,65.794,28.91632652
2005,Iran,IRN,70.299,36.86399078
2005,Japon,JPN,78.56,81.16796112
2005,Maroc,MAR,67.112,25.20932388
2005,Mexique,MEX,71.35,42.23654556
2005,Nigeria,NGA,48.994,25.55648804
2005,Pérou,PER,69.896,54.9895668
2005,Royaume-Uni,GBR,77,81.23471069
2005,Russie,RUS,58.92,61.14411545
2005,Sénégal,SEN,59.345,43.40821457
2005,Suède,SWE,78.4,82.29276276
2005,Suisse,CHE,78.7,31.04800797
2005,Togo,TGO,55.307,15.63836765
2005,Turquie,TUR,70.304,67.74803925
2005,États-Unis,USA,75,45.47619629
2006,Afrique du Sud,ZAF,52.233,46.9732132
2006,Allemagne,DEU,76.4,75.23641205
2006,Brésil,BRA,68.953,42.92739105
2006,Canada,CAN,78.29,69.50933075
2006,Chine,CHN,71.904,35.13990021
2006,Chili,CHL,75.797,41.34890747
2006,Corée du Sud,KOR,75.4,53.08713913
2006,Côte d'Ivoire,CIV,51.882,14.19835758
2006,Espagne,ESP,77.7,72.09972382
2006,France,FRA,77.3,71.27339935
2006,Inde,IND,63.989,20.50615883
2006,Indonésie,IDN,65.929,31.71804619
2006,Iran,IRN,70.796,41.67243958
2006,Japon,JPN,79,80.3215332
2006,Maroc,MAR,67.469,28.51291847
2006,Mexique,MEX,71.442,42.8270874
2006,Nigeria,NGA,49.326,21.18177032
2006,Pérou,PER,70.225,50.25803757
2006,Royaume-Uni,GBR,77.2,82.42418671
2006,Russie,RUS,60.43,61.72977448
2006,Sénégal,SEN,60.116,46.75199127
2006,Suède,SWE,78.7,82.35673523
2006,Suisse,CHE,79.1,30.60895157
2006,Togo,TGO,55.661,16.78297043
2006,Turquie,TUR,70.637,68.85150146
2006,États-Unis,USA,75.2,46.30744171
2007,Afrique du Sud,ZAF,52.715,47.79261017
2007,Allemagne,DEU,76.9,75.1645813
2007,Brésil,BRA,69.368,42.48596954
2007,Canada,CAN,78.29,69.67121887
