Pays,Années,HALE_femmes,HALE_hommes,HALE_WMGap
Brésil,2000,62.73705541,59.17218143,3.5648739800000016
Brésil,2001,62.96384211,59.38994335,3.5738987599999987
Brésil,2002,63.09142906,59.57840052,3.5130285400000005
Brésil,2003,63.26572255,59.78503628,3.4806862699999996
Brésil,2004,63.3755438,59.96353312,3.4120106800000016
Brésil,2005,63.79896326,60.49942617,3.299537090000001
Brésil,2006,63.97598566,60.7098367,3.2661489600000024
Brésil,2007,64.28673344,60.9658145,3.3209189400000056
Brésil,2008,64.54378131,61.13609506,3.4076862499999976
Brésil,2009,64.75405725,61.31274397,3.441313280000003
Brésil,2010,64.90873098,61.41090354,3.497827440000002
Brésil,2011,64.98965948,61.53601601,3.453643470000003
Brésil,2012,65.25472926,61.72841582,3.5263134400000027
Brésil,2013,65.41775961,61.8642389,3.553520710000008
Brésil,2014,65.62459321,62.0320852,3.592508010000003
Brésil,2015,65.65093832,62.17193655,3.4790017699999964
Brésil,2016,65.59333101,62.02352223,3.5698087800000025
Brésil,2017,65.89755108,62.39000625,3.5075448300000005
Brésil,2018,66.06457216,62.72618106,3.3383910999999955
Brésil,2019,66.07421869,62.96217764,3.112041049999995
Brésil,2020,64.96409633,61.62273667,3.341359660000002
Brésil,2021,63.40577936,60.29978677,3.1059925899999996
Canada,2000,69.52741814,67.47391933,2.0534988099999936
Canada,2001,69.63917018,67.64712074,1.9920494399999882
Canada,2002,69.61643547,67.78155429,1.8348811799999964
Canada,2003,69.74019122,67.82404319,1.9161480300000022
Canada,2004,69.87018078,68.0373258,1.8328549799999934
Canada,2005,69.90944105,68.09697238,1.8124686700000012
Canada,2006,70.15828978,68.41600313,1.742286649999997
Canada,2007,70.14890041,68.42299161,1.7259087999999991
Canada,2008,70.21534815,68.58303311,1.6323150399999946
Canada,2009,70.37633071,68.85009156,1.5262391500000092
Canada,2010,70.52505683,69.07185008,1.4532067499999926
Canada,2011,70.64127492,69.35371898,1.2875559400000043
Canada,2012,70.69986788,69.40987981,1.2899880699999926
Canada,2013,70.72810859,69.48531549,1.2427931
Canada,2014,70.76549767,69.50468309,1.2608145800000017
Canada,2015,70.76312083,69.57702898,1.186091850000011
Canada,2016,70.79503171,69.59268933,1.2023423800000046
Canada,2017,70.79007395,69.47625536,1.3138185899999968
Canada,2018,70.73784447,69.48382683,1.2540176400000007
Canada,2019,70.91261404,69.65790446,1.2547095799999965
Canada,2020,70.32963242,68.90955799,1.4200744299999997
Canada,2021,70.6360126,68.92993444,1.7060781600000041
Chili,2000,67.42466079,65.03879375,2.385867040000008
Chili,2001,67.38995778,64.97548596,2.414471820000003
Chili,2002,67.77493845,65.39181963,2.383118819999993
Chili,2003,67.72696134,65.52432494,2.202636400000003
Chili,2004,67.70634744,65.63042978,2.0759176600000018
Chili,2005,67.97478822,65.99886824,1.9759199800000005
Chili,2006,68.29847252,66.39858289,1.899889630000004
Chili,2007,68.40643507,66.45510618,1.9513288899999992
Chili,2008,69.0342241,66.98159015,2.0526339500000006
Chili,2009,69.06126679,66.79741928,2.263847510000005
Chili,2010,68.88350807,66.7925029,2.0910051700000025
Chili,2011,69.30428558,67.37210135,1.9321842300000043
Chili,2012,69.21528682,67.50275572,1.7125311000000067
Chili,2013,69.44274851,67.57649272,1.8662557899999968
Chili,2014,69.47272967,67.66384687,1.8088828000000063
Chili,2015,69.56242407,67.81038691,1.7520371600000004
Chili,2016,69.72560447,68.12969537,1.5959091
Chili,2017,69.83427487,68.33517199,1.4991028799999953
Chili,2018,70.01473225,68.58181498,1.4329172699999901
Chili,2019,70.05460077,68.64629464,1.4083061299999997
Chili,2020,69.16406212,67.51275449,1.651307629999991
Chili,2021,68.27301609,67.05386245,1.2191536400000018
Chine,2000,64.42400605,61.98126682,2.442739230000001
Chine,2001,64.7301134,62.23503652,2.495076879999992
Chine,2002,65.05827229,62.49783916,2.560433130000007
Chine,2003,65.3364924,62.7013046,2.635187799999997
Chine,2004,65.60769232,62.91142904,2.6962632799999966
Chine,2005,66.06696399,63.32482356,2.7421404300000063
Chine,2006,66.77254948,63.97423813,2.7983113499999916
Chine,2007,67.30572264,64.39286558,2.9128570599999932
Chine,2008,67.49669432,64.53841561,2.958278710000002
Chine,2009,67.95006331,64.82082391,3.129239400000003
Chine,2010,68.21926451,65.02937607,3.1898884400000043
Chine,2011,68.51720724,65.33528978,3.181917460000008
Chine,2012,68.93976748,65.61668819,3.3230792899999955
Chine,2013,69.2339325,65.87651749,3.357415009999997
Chine,2014,69.48707536,66.14612545,3.340949910000006
Chine,2015,69.73485974,66.36438367,3.3704760700000094
Chine,2016,69.85790918,66.5288309,3.3290782799999903
Chine,2017,69.94035384,66.71426319,3.2260906500000033
Chine,2018,69.99932618,66.8648497,3.1344764800000036
Chine,2019,70.08088398,66.99213677,3.088747209999994
Chine,2020,70.27131344,66.95419943,3.3171140099999974
Chine,2021,70.07649883,67.21299995,2.8634988800000087
Côte d'Ivoire,2000,45.47425833,43.96984968,1.504408649999995
Côte d'Ivoire,2001,45.68048006,44.3297093,1.3507707600000032
Côte d'Ivoire,2002,45.98713984,44.56653956,1.420600279999995
Côte d'Ivoire,2003,46.3219491,44.94922701,1.3727220899999963
Côte d'Ivoire,2004,46.88495479,45.46348778,1.4214670100000006
Côte d'Ivoire,2005,47.83409205,46.30840309,1.5256889600000036
Côte d'Ivoire,2006,48.82873712,47.16133999,1.6673971299999977
Côte d'Ivoire,2007,49.57582804,47.8506903,1.725137740000001
Côte d'Ivoire,2008,50.37733348,48.54655717,1.8307763099999974
Côte d'Ivoire,2009,50.84920549,49.14417088,1.7050346100000056
