Années;Pays;Cancer_thyroïde;Cancer_Estomac;Cancer_Utérus;Cancer_Foie;Cancer_Sein;Cancer_Testicule;VIH/SIDA
2000;Afrique du Sud;6.693355667573881;131.69740759959402;15.423896896154572;131.7706791525801;176.7596967958518;5.076180865815349;21126.732715206592
2001;Afrique du Sud;6.608833135136202;127.52404891593936;15.438782551643609;129.3307770826055;172.0188486584449;4.962910183280386;24856.531168022346
2002;Afrique du Sud;6.5393353447439235;124.3748733438572;15.400269381957536;127.49296416838096;170.40708373017918;4.924795788528271;28413.65915623821
2003;Afrique du Sud;6.551281044266499;121.63820082404357;15.357450104402185;124.88133038652116;170.71111323377886;4.941108413239027;31314.350155780176
2004;Afrique du Sud;6.393602181409638;115.20526248419851;15.116203181878836;119.23862705317984;170.4577586336948;4.780688981054924;33291.51542090965
2005;Afrique du Sud;6.531769441527212;114.107632081297;15.858915509276423;117.95562496554864;180.09002488309082;4.67603890374814;33671.64766682149
2006;Afrique du Sud;6.866491282944474;116.89211921636232;17.12774412287961;120.63745537426132;195.3905042229951;4.843885650982846;32751.70276200257
2007;Afrique du Sud;7.251417489014011;120.6806769814978;18.386305751011054;124.96612063576453;214.55417977014713;5.091346538881187;31043.368696172463
2008;Afrique du Sud;7.648281867593517;124.10713489306006;19.96835386788108;127.96164180968938;233.70245460387;5.203175826234748;28200.73292971186
2009;Afrique du Sud;8.219600375603859;130.8738406969549;22.01725906481318;134.12037242164172;258.5347815691608;5.4154025552989555;25205.616939471653
2010;Afrique du Sud;8.65916067277293;135.60109654557783;23.550815981353068;139.26511662437764;279.67720376581684;5.57704940504611;22283.54395289574
2011;Afrique du Sud;9.0698947629897;139.3507930358508;25.018212323815877;143.972404748323;297.5033367383252;5.74893353885378;19079.100840586972
2012;Afrique du Sud;9.372249495054223;141.48347997652138;25.899473297192547;147.7351688700661;314.0705154054253;5.919713633685687;16405.742691864976
2013;Afrique du Sud;9.638908752853837;143.2431363876103;27.0434997292733;150.65499379006334;329.2233218417803;6.038054132781159;14532.65739010387
2014;Afrique du Sud;9.975046205740206;145.06290513277017;28.080381497954516;152.8603938328952;338.6049134093441;6.166273363269546;13401.52889175163
2015;Afrique du Sud;10.112088795558511;144.88103726951084;28.549629854208263;153.30064866893807;342.3039462837693;6.229515211531647;12597.024691600089
2016;Afrique du Sud;10.1537237090516;142.73822143848733;28.751834711869535;152.42333042044905;343.5356597883148;6.209055170294379;11820.18384998269
2017;Afrique du Sud;10.162008794220773;140.56811416632493;29.0389850461997;152.548324362184;346.0715256268554;6.184591899908829;11014.574443730304
2018;Afrique du Sud;10.16592711091396;138.1308854250687;29.415209818627964;152.8360811307386;347.118548996065;6.070181004902583;10278.047134174223
2019;Afrique du Sud;9.712629186224746;130.82494927531516;27.91081294015436;149.2985793195504;329.0123836201202;5.843611844836628;9623.187960041634
2020;Afrique du Sud;8.903667398388212;123.24584294673366;25.23021208332676;142.09827010851205;300.25171733280575;5.381761647553449;9013.180740579215
2021;Afrique du Sud;9.01746183795111;126.73756856614398;25.102588418850225;150.25053234865825;300.1564774531571;5.428231866131464;9204.525710159529
2000;Allemagne;27.94237572363002;416.349628427835;59.467819696267895;114.70169808839216;642.0038285372611;16.176611717114387;47.91521888449659
2001;Allemagne;27.495801616800694;398.65136840022046;58.39437148219226;117.00400804409654;633.7359585513109;15.384102506342558;45.37706099746772
2002;Allemagne;26.423413476425555;393.8808915462293;57.82231465821414;122.83213433588188;632.3438488870113;15.196555032178352;44.01497349690999
2003;Allemagne;26.494632510156183;386.69866691788286;56.978903328760566;129.63924231992624;627.0360548429736;14.787394877339633;43.37182787558092
2004;Allemagne;24.799819616182493;372.7040466019534;56.47994687817485;135.212875017692;622.622914767235;14.860630828138454;42.36118317523019
2005;Allemagne;25.696418847322303;365.86596496134695;56.099896700348886;142.30533361259285;623.1281921232645;14.53883973365484;41.43940811623631
2006;Allemagne;26.012021209026887;355.3428774365781;56.1444973521133;150.12010399734936;614.3597982346533;13.530415358314247;40.867213528827115
2007;Allemagne;25.59738838320317;349.1496826835716;57.04477583222399;154.35994784334588;605.740580977981;13.339132172237903;40.05289783616882
2008;Allemagne;26.035708893447985;348.52120783220425;58.39006744802125;161.67717334408258;613.1513262078562;13.365863690761998;39.32678169831976
2009;Allemagne;26.50518902410284;341.49424571647313;58.04854692941124;168.3643260094291;609.351069435183;13.65772842295452;38.92015588240083
2010;Allemagne;26.81822887320955;333.6024472169872;58.6236253690483;173.85457826488835;609.734039616034;14.043849456335362;38.37932553502338
2011;Allemagne;26.89726519366406;320.5840496596762;58.03013639067724;175.32614639298382;603.7214412914503;13.539118621238108;37.35313979081528
2012;Allemagne;27.430748707884632;315.29395050829055;59.21106558307349;177.05108814289792;598.4444298990887;13.36337714636814;36.181818237855126
2013;Allemagne;27.91345586811304;310.7346678991525;60.52407071353351;179.75696328259707;599.7159635278368;12.868244787005075;35.2152583257199
2014;Allemagne;26.946563162244523;300.6812722491349;59.49604222338836;179.94675595853224;585.0526107522157;12.494992512847396;34.285633629029405
2015;Allemagne;26.65055232601161;304.6245792395386;62.46713563712731;190.04873908430977;601.1682537437642;12.586813714312424;34.12910212900281
2016;Allemagne;24.39713770688462;299.45192422014924;62.0669792287457;192.2562527146075;603.4041316424717;11.936068691724875;33.797526238031246
2017;Allemagne;23.96691510493797;294.28335388075095;63.438661191826455;193.4932452978585;603.8967046729858;12.44897302276341;33.05943182747226
2018;Allemagne;23.215779548463804;293.5977493899797;63.75889643511001;196.4697564290684;610.1994316961297;13.274345891502827;31.92660183355699
2019;Allemagne;23.030387003741637;286.42865356348705;64.2244137545047;198.85110547591975;604.9288090201619;12.89681166399254;29.415939647091225
2020;Allemagne;21.875999368794847;284.64516300475265;65.48599003895093;203.4920038310384;613.6760889086954;13.891855352564242;26.70802151716836
2021;Allemagne;22.150748761441456;283.3835035206708;65.5938036136239;202.63035791756155;617.9691081745004;14.430286303621063;24.77215719040771
2000;Brésil;10.28650519772282;272.92838547547;24.867952882408964;30.56142369091872;217.63561469666195;7.718421293301112;453.53373424719615
2001;Brésil;10.819743668360116;271.88403198733977;24.74235171867955;32.350675169081164;220.7214311292703;7.995391883565866;447.9122421025991
2002;Brésil;10.404272642825708;272.0865339837181;24.952709993203335;33.81358528367907;223.91861179129737;8.26151675299641;444.2190650845144
2003;Brésil;10.392391739677734;273.4300527862539;25.730798613627368;35.13835783743185;225.9742019480679;8.71858658443954;438.2080282523244
2004;Brésil;10.797263317614936;274.440839373479;25.172157019660037;36.68927675599206;230.08086174535688;8.550050883179152;429.97529682744664
2005;Brésil;10.926553483664373;268.40208904927334;25.14701988531247;37.03822000562692;229.873634671422;8.561304906594392;416.4976244405516
